codprojeto,nomeprojeto,codcliente,codtipoprojeto,tipo_faturamento,qdadehora_cont,valorhora_cont,dataini_proj,dataterm_proj,datacad_proj,codConsultor,codstatus_proj,gpcliente_proj,gpwinnercon_proj,dataassinatura_prop,represente_prop,numproposta_prop,tipo_servidor,forma_pagamento
"134,""Histórico - FORCASA"",79,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"135,""Histórico - GIP INVEST "",82,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"136,""Histórico - HABIARTE"",85,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"137,""Histórico - LANDINVEST"",99,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"138,""Histórico - LEMAM"",102,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"139,""Histórico - LIBCORP"",265,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"140,""Histórico - LITORAL "",104,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"141,""Histórico - LMD"",106,7,EF,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"142,""Histórico - MAC LUCER"",108,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"143,""Histórico - MACRO"",109,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"144,""Histórico - MAGIK JC"",111,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"145,""Histórico - MARQUES "",113,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"146,""Histórico - MERITO "",118,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"147,""Histórico - NOVATA  "",128,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"148,""Histórico - PATRIMONIO "",131,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"149,""Histórico - PAZ REALTY "",134,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"150,""Histórico - PRAIA GRANDE  "",137,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"151,""Histórico - QUADRA  IMOBILIARIO "",142,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"152,""Histórico - SÃO FRANCISCO "",148,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"153,""Histórico - SEI INCORPORACAO"",149,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"154,""Histórico - SEISA MESTER"",150,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"155,""Histórico - SEVCON  "",153,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"156,""Histórico - SIVERCON  "",155,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"157,""Histórico - SOUEN & NAHAS"",156,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"158,""Histórico - SPALLA  "",157,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"159,""Histórico - TEIXEIRA PINTO "",162,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"160,""Histórico - TOLEDO FERRARI "",164,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"161,""Histórico - TINER  "",165,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"162,""Histórico - TOWER "",167,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"163,""Histórico - TUMI  "",169,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"164,""Histórico - URBPLAN  "",171,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"165,""Histórico - URRE GRIFO"",172,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"166,""Histórico - URUS INVEST"",173,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"167,""Histórico - VINX "",176,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"168,""Histórico - VIPLAN  "",177,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"169,""Histórico - YASHAR  "",183,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"170,""Histórico - ZR3  "",184,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"171,""Histórico - W.V. MALDI "",186,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"172,""Histórico - VIEL "",210,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"173,""Histórico - TF  "",222,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"174,""Histórico - CONELESTE "",223,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"175,""Histórico - POLIMOVI "",239,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"176,""Histórico - MEDSON"",240,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"177,""Histórico - FAENA  "",241,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"178,""Histórico - HUMANIZA"",246,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"179,""Histórico - SI AMERICA "",250,7,HH,1,150.00,2019-01-01,2022-03-01,""2022-04-01 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
